AVAILABILITY_PK,title,publisher
H0908P-XML-ENG,When Your CEO Is Semi-Retired—but Meddling Full-Time,Harvard Business Review Digital Article
H08WZ9-XML-ENG,Senior Leaders Still Need Learning and Development,Harvard Business Review Digital Article
H08YJ0-XML-ENG,"When Working With AI, Act Like a Decision-Maker—Not a Tool-User",Harvard Business Review Digital Article
H093S1-XML-ENG,Boards Often Misunderstand What Stock Buybacks Really Cost,Harvard Business Review Digital Article
-XML-ENG,The Two-Organizations Problem,Harvard Business Review Digital Article
"tag:blogs.harvardbusiness.org,2007-03-31:999.315855","So, You Cried at Work",
-XML-ENG,When Your CEO Is Semi-Retired—but Meddling Full-Time,Harvard Business Review Digital Article
-XML-ENG,"When Working With AI, Act Like a Decision-Maker—Not a Tool-User",Harvard Business Review Digital Article
-XML-ENG,"To Change Company Culture, Start with One High-Impact Behavior",Harvard Business Review Digital Article
-XML-ENG,The Secret to Successful AI-Driven Process Redesign,Harvard Business Review Digital Article
S25012-XML-ENG,The Secret to Successful AI-Driven Process Redesign,Harvard Business Review Digital Article
"tag:blogs.harvardbusiness.org,2007-03-31:999.315855","So, You Cried at Work",
-XML-ENG,"To Change Company Culture, Start with One High-Impact Behavior",Harvard Business Review Digital Article
-XML-ENG,Senior Leaders Still Need Learning and Development,Harvard Business Review Digital Article
-XML-ENG,The Two-Organizations Problem,Harvard Business Review Digital Article
H093S1-XML-ENG,Boards Often Misunderstand What Stock Buybacks Really Cost,Harvard Business Review Digital Article
